accidents,traffic_fine_amount,traffic_density,traffic_lights,pavement_quality,urban_area,average_speed,rain_intensity,vehicle_count,time_of_day
16,9.8649,5.0669,752,1.3179,1,198.661,1.3244,729.085,153.456
19,7.9481,9.6641,1.557,4.5264,1,376.004,6.242,767.654,182.229
26,1.2445,5.7495,1.642,813,0,250.688,1.0909,321.842,191.877
29,1.5868,8.8993,709,1.6346,0,174.851,1.8405,994.188,6.6361
19,5.1754,6.5088,3.199,4.7175,1,353.175,1.5361,8.2224,9.2414
15,9.183,4.7525,4.735,3.2702,1,236.789,1.9054,651.218,4.9712
25,5.8483,8.5461,9.979,2.6636,1,12.8312,1.9856,971.067,17.948
18,5.4803,4.7137,431,1.0177,0,445.208,3.701,232.067,6.4975
28,1.9493,8.6863,7.262,4.1669,1,5.6524,9.447,285.344,9.3845
18,6.911,2.9158,6.934,1.021,0,9.044,2.2461,580.218,192.726
13,8.3989,1.2881,2.045,1.2413,0,7.1956,1.9511,783.445,8.1553
23,4.4238,8.5531,585,9.593,1,8.1822,265,335.658,6.996
18,7.9805,5.8742,546,7.907,0,269.021,9.454,838.407,156.284
19,9.6803,8.8909,7.003,4.7666,0,312.433,2.794,248.633,23.409
29,2.8339,9.3783,9.983,3.0102,1,224.306,2.586,875.623,1.503
15,5.71,5.363,3.586,3.1892,0,10.2086,2.0119,260.424,200.349
16,3.5842,5.1997,8.964,4.7716,0,6.6095,2.186,621.261,2.9185
16,8.1357,3.7496,3.819,1.1529,1,246.076,1.8212,364.213,8.2776
20,6.1983,6.2586,6.894,296,1,282.742,366,328.608,10.2012
21,6.7112,7.9359,5.983,2.9944,1,151.981,1.9834,360.456,172.497
17,8.1812,2.8059,53,2.5392,1,11.022,2.1936,504.209,222.376
20,4.5637,5.568,784,2.3883,1,4.0296,1.4917,846.598,2.4483
14,9.2358,7.0873,208,3.094,1,1.3122,114,761.725,178.754
15,5.7973,1.3443,3.708,2.2722,1,5.2868,1.9998,454.847,7.735
33,2.4216,8.1407,7.458,1.4378,1,37.104,2.4592,289.339,216.459
19,7.2631,6.0611,1.728,1.3728,1,172.009,1.7576,855.758,6.6772
22,8.1394,9.4954,6.059,1.1119,1,1.3709,2.1276,871.483,166.527
19,3.8509,3.3953,2.888,1.6626,1,254.083,271,45.914,3.9541
17,8.7146,1.0815,797,1.7657,1,268.034,2.146,698.887,229.907
17,9.1553,5.065,7.984,1.5439,1,214.344,1.8426,375.571,1.038
17,3.4921,8.581,7.754,4.8938,1,5.5341,9.931,157.607,5.5884
18,9.8517,9.6953,5.248,4.6637,0,377.484,2.056,328.268,162.227
24,2.2664,3.868,2.846,2.8726,0,344.541,1.9367,685.263,204.846
28,2.8181,7.535,8.094,4.9053,1,197.365,1.7984,771.716,238.454
19,2.658,5.251,1.861,4.956,1,190.408,5.488,853.139,4.1583
11,9.0459,3.6862,2.898,1.7797,1,7.7968,8.887,2.7536,7.3715
19,6.8886,6.584,1.839,2.2259,1,376.775,2.9741,491.542,214.044
23,2.3689,6.2217,6.742,4.7953,1,299.787,1.2993,281.183,0.78
15,4.9629,5.8522,6.862,3.0431,0,4.2897,1.783,68.712,175.997
21,6.5377,2.8088,6.525,1.0646,1,189.032,2.697,252.878,10.1532
29,1.7512,9.1022,4.156,3.4469,1,45.178,5.188,570.617,165.316
16,8.9417,3.0411,1.002,1.0287,1,226.187,1.2106,714.843,12.5976
18,8.2324,4.4973,9.112,1.6968,1,162.464,834,772.364,150.507
26,5.5469,5.4376,5.077,1.1378,1,321.892,2.8916,276.774,159.999
11,9.7041,1.2023,407,1.2249,1,10.1486,1.1343,9.6954,151.499
28,4.7598,9.3216,5.888,233,1,261.902,2.1262,226.526,159.495
13,9.857,3.7454,1.928,4.4035,1,334.761,1.7951,60.314,136.404
13,7.0113,8.078,1.325,1.48,1,427.439,1.289,5.1945,171.335
20,6.712,3.8729,4.055,4.319,1,346.252,1.1529,167.273,186.246
27,2.4936,6.002,2.272,4.349,1,192.205,1.1701,99.552,189.105
20,8.9373,5.1365,2.443,2.7801,1,38.39,2.9695,388.508,204.843
24,4.8474,6.9454,8.925,4.9646,1,44.92,2.4358,501.561,7.5937
28,2.4601,5.548,5.308,7.251,1,238.882,2.57,2.0897,178.986
27,1.1135,2.8454,4.835,4.981,1,225,9.406,595.989,227.199
24,6.0378,8.1923,6.895,2.1915,1,440.459,9.872,332.046,8.8192
15,5.7466,7.989,9.515,2.8167,0,8.2721,1.5468,534.891,186.634
17,7.4742,8.5549,1.122,1.4719,0,6.3163,1.893,530.857,6.9951
13,9.0123,919,8.335,1.5126,0,153.839,2.1849,967.783,4.2137
29,1.7147,8.3445,584,2.1224,0,189.992,2.4624,275.574,10.7142
22,7.5835,3.6079,1.462,1.5707,1,399.688,2.6196,574.729,193.568
21,2.6867,6.1221,2.971,4.5767,1,194.592,739,387.737,7.3709
15,8.7236,1.5289,4.824,2.098,1,2.4411,2.3883,42.778,7.0785
14,8.3716,6.617,6.912,1.1729,0,317.981,1.8325,6.5003,6.6642
17,5.8671,2.1594,2.426,4.0428,1,335.611,1.5963,691.568,5.2349
16,7.3922,1.2785,5.349,4.1698,1,40.711,1.8854,203.333,146.667
26,3.8292,3.1241,6.847,5.578,1,199.433,2.6458,473.804,5.8401
19,5.2405,5.1438,4.487,4.8688,1,4.3036,1.6359,439.927,224.377
15,8.3947,5.8876,863,3.4668,0,276.531,4.866,47.346,8.3023
23,5.1334,7.8987,8.695,1.363,0,6.0499,1.3103,381.791,130.176
24,4.2202,6.5624,4.707,2.2802,1,8.538,2.7734,249.962,9.8201
29,5.4479,6.0876,9.729,1.4857,1,389.292,2.4435,454.227,231.052
13,8.4542,4.1178,756,7.501,1,201.705,6.091,5.5757,10.1763
22,4.0169,4.7381,34,1.4559,1,262.503,2.1424,249.899,135.287
22,2.5639,4.1452,3.807,2.9005,0,331.425,7.687,78.7,183.222
17,7.4081,8.4217,6.011,4.1298,1,200.514,1.0456,844.392,4.1111
13,8.4338,2.3,6.292,1.8176,1,2.5566,1.4068,718.156,7.834
24,1.9057,572,4.764,1.7395,1,12.6372,1.3226,636.238,10.9181
22,3.1589,6.5132,1.249,2.34,1,9.7171,878,813.153,132.154
24,2.2777,2.0246,1.705,3.2228,0,488.697,2.322,136.553,6.8895
30,4.1315,8.9012,8.521,3.7581,1,369.753,2.5392,530.002,11.1001
23,5.0532,8.5905,8.679,1.634,1,225.775,1.5928,12.5152,147.639
12,7.7394,7.673,6.739,2.9318,0,3.1684,5.189,780.087,233.586
12,6.8603,1.0639,6.642,1.9468,0,5.7925,7.438,525.351,144.427
18,6.5884,4.9517,5.977,3.582,1,40.645,379,811.925,10.7726
23,4.1714,6.0922,2.029,8.234,1,472.725,5.085,801.073,5.407
19,8.573,2.7491,4.283,1.2846,1,1.5675,2.6292,47.155,7.454
23,5.2416,7.168,6.959,2.1303,0,455.199,1.4405,501.906,8.6037
11,9.8119,5.9492,5.373,4.4471,1,190.282,333,3.7985,11.4467
15,6.7073,3.2482,186,2.8666,0,10.6816,7.642,528.278,187.721
21,2.1364,2.537,9.536,4.827,0,5.1116,2.8485,68.069,186.213
25,7.0856,7.5015,8.448,5.164,1,385.874,1.5278,241.319,202.869
20,3.9259,2.1475,2.605,2.3009,1,234.455,1.5469,986.662,6.9598
22,7.1769,8.3447,6.165,2.0954,1,416.212,1.5769,975.081,8.315
22,1.6268,4.2029,9.232,3.001,0,11.3079,3.349,290.002,3.6057
27,2.5739,5.7708,96,4.0598,1,339.284,2.9109,715.844,20.578
15,8.7016,8.7295,503,4.2072,1,5.9061,2.535,3.9702,156.536
26,3.0446,8.6362,4.562,3.351,1,4.4875,2.1001,669.095,1.8612
11,8.5334,3.7152,4.102,3.2077,1,6.67,1.733,627.776,7.2878
17,3.5135,2.0889,8.356,4.7451,0,404.451,1.3308,823.938,3.6654
25,6.7859,7.7515,3.806,1.9184,0,32.781,2.699,311.321,232.615
17,7.2474,4.3308,637,4.1639,1,8.2982,2.3053,87.923,7.7905
15,5.6139,1.9204,658,4.6075,1,192.386,1.004,859.395,11.9152
26,3.7478,9.0443,427,2.4577,1,381.843,1.654,672.907,7.6296
20,2.9138,1.981,4.091,3.6455,1,142.837,4.958,477.612,11.3831
30,1.2987,2.581,7.184,1.8851,1,460.632,2.8684,622.217,239.669
22,3.7355,2.028,2.037,7.944,1,457.301,2.126,732.659,6.8973
18,6.8785,6.2232,6.465,2.9325,1,27.645,1.1229,975.499,6.7829
15,9.4447,6.6168,6.871,9.824,0,315.987,9.538,130.511,8.9131
12,8.8408,3.1104,2.552,2.288,1,326.609,7.159,319.942,4.0636
18,7.8946,3.2001,6.006,4.3644,1,12.9234,2.3596,782.909,177.358
14,8.096,3.3949,6.849,4.301,0,182.661,1.3038,415.088,9.1042
19,6.9849,6.8016,4.666,1.521,1,6.7971,9.907,675.755,139.406
25,3.3426,5.813,3.367,3.0324,1,462.436,2.7157,141.787,158.713
17,9.1648,9.2912,6.192,1.6553,1,361.925,4.507,71.207,8.506
14,7.0366,2.2252,9.778,2.0897,0,2.3178,7.915,677.323,154.561
25,6.044,9.9967,4.268,2.0286,1,274.694,1.0343,589.962,12.7865
23,1.9989,1.7152,3.917,4.331,0,171.537,7.796,767.586,1.9884
25,5.0235,7.7155,4.643,178,1,407.644,1.7562,881.311,2.9877
18,5.1432,2.2341,762,4.4921,0,17.19,1.8031,83.101,10.5792
11,8.7811,8.085,5.532,1.089,1,322.075,1.642,136.298,8.3114
21,5.9198,8.7493,3.287,2.1304,1,8.287,4.336,746.949,10.4999
22,4.4236,8.5875,1.214,4.8596,1,279.378,5.956,455.267,152.524
8,9.7912,4.0357,4.663,4.1338,0,146.943,211,340.543,3.7062
27,1.9965,7.024,34,5.397,1,8.2444,3.743,880.853,158.987
22,4.8029,5.5707,4.018,2.5426,1,30.963,719,564.017,19.635
25,1.3782,8.5296,1.057,3.6504,1,319.321,1.0369,506.222,703
17,7.6591,3.1506,243,3.492,1,491.677,2.3739,786.753,8.8431
12,9.2627,5.2367,8.245,3.8042,1,334.553,6.537,557.775,6.604
27,3.5203,4.8537,9.162,2.2873,1,257.855,2.0101,859.428,10.368
13,8.7251,3.5391,2.077,8.796,1,45.631,1.736,11.1872,147.667
28,3.63,8.9146,5.393,2.3244,1,41.414,1.9747,778.372,4.5017
14,9.1969,1.6588,278,3.2394,1,274.373,2.3842,172.196,3.2183
16,7.7857,1.4951,4.936,3.043,1,255.675,1.8144,232.979,174.921
19,8.2442,5.7691,4.366,3.526,1,470.985,6.042,187.657,164.581
26,1.1621,6.5749,2.691,3.248,0,308.564,9.912,246.037,11.0603
14,9.6653,1.9462,7.004,4.8263,1,35.689,2.4155,734.512,12.0317
15,7.54,3.9072,1.265,759,1,4.334,1.2959,658.778,6.4767
24,3.7428,9.4656,531,1.4723,0,359.153,7.657,237.483,7.9003
14,8.4646,2.4662,7.677,3.8382,1,132.341,2.7981,277.473,7.682
26,3.5337,6.6836,6.659,2.0484,0,5.7769,1.9121,10.8301,17.432
22,8.8548,7.4015,4.985,9.073,1,424.833,2.4171,420.291,133.354
24,2.0132,4.4813,4.678,2.3362,1,345.596,735,384.799,175.077
21,7.3332,9.3753,4.974,2.8447,1,203.782,1.018,154.358,141.772
22,5.8663,7.3666,437,2.2638,1,215.708,1.3767,836.279,130.953
24,1.8688,4.5792,3.929,4.5947,1,9.8559,1.7623,854.069,7.694
23,3.177,5.6934,4.997,1.4235,1,4.775,5.699,11.7956,9.4912
30,1.1116,6.9261,5.285,3.3067,1,17.468,1.4939,273.702,212.975
25,5.2189,5.9219,6.919,5.615,1,7.4207,2.0569,738.728,138.223
27,3.7114,8.787,7.112,1.9614,1,210.863,1.0376,871.267,12.5869
18,6.3852,3.5689,3.776,3.705,1,416.913,2.0743,8.0956,1.2752
23,3.6751,2.9989,4.135,1.1241,1,5.7377,1.169,903.347,161.013
19,3.6993,2.1384,3.737,2.9489,1,4.5877,1.4084,7.1021,164.644
16,7.6887,3.778,5.365,7.672,1,451.051,4.029,637.446,165.758
25,1.4333,4.301,4.534,5.135,1,37.257,1.9538,3.1854,2.1893
16,9.1261,8.7006,8.896,2.6162,0,2.6535,6.728,928.982,7.2109
18,8.6704,6.7839,6.964,3.3751,1,3.9785,2.4866,360.154,8.9094
24,7.0102,6.6053,8.987,5.668,1,342.462,1.6603,652.315,198.359
21,6.339,6.1464,7.091,4.5889,1,185.172,1.6808,192.776,235.361
22,9.0307,8.4922,971,1.1289,1,362.087,2.7374,328.043,9.9539
24,2.668,4.8027,6.357,5.999,1,202.227,5.022,749.825,133.027
32,1.7107,8.7041,9.636,1.0135,1,483.893,1.5907,973.266,1.761
22,3.1556,3.5945,1.582,8.479,1,347.208,1.1466,992.133,2.107
21,8.1512,9.2671,525,4.534,0,2.3308,2.899,811.583,1.788
30,1.312,6.9866,5.791,3.9892,0,165.251,2.3781,848.721,172.672
19,6.2453,2.5718,9.835,2.4777,1,281.803,2.2725,96.971,4.2753
11,9.9589,5.6408,4.176,1.9426,0,7.0937,6.124,4.9914,181.884
9,8.7013,5.3303,212,4.7531,0,126,712,178.449,10.365
15,5.693,1.379,5.215,1.855,1,3.9654,875,6.2151,203.993
30,1.5728,5.9124,6.488,8.349,0,262.132,1.9156,50.615,208.876
15,8.4824,3.1479,3.152,1.3702,0,316.128,1.1125,958.904,21.116
16,6.3908,5.235,7.148,1.1948,1,4.6452,9.361,586.612,130.441
33,2.0344,9.4866,9.751,2.4937,1,332.578,1.9111,55.985,189.242
31,1.8447,6.4149,897,1.4575,1,308.562,2.4861,828.419,158.859
17,9.1866,8.7692,2.916,2.5803,1,469.948,3.991,929.659,4.4811
21,7.0228,6.7606,3.267,3.3465,1,420.338,2.756,70.157,9.1564
12,8.4636,3.5698,3.715,3.8865,0,471.621,1.028,896.424,230.967
14,8.9108,5.1269,3.946,3.5508,1,483.054,2.853,183.464,185.416
22,6.146,6.7575,1.003,1.028,1,220.404,2.5144,508.373,6.3119
28,5.657,9.6025,762,5.795,1,243.955,1.4781,370.959,6.7434
22,4.8738,2.5367,3.653,2.7123,1,140.811,2.8178,339.196,6.1003
28,3.8525,8.7498,8.798,9.946,1,254.216,1.385,222.108,7.8916
31,4.9114,9.2408,9.269,4.247,1,7.5357,2.7784,895.057,222.794
17,7.9649,6.7042,244,2.6355,1,335.715,7.189,455.866,10.405
24,6.4173,9.3127,9.885,1.634,1,1.2466,1.8493,534.951,8.7421
17,9.0327,3.9788,0.71,3.7807,1,11.7814,2.9834,283.548,5.7404
27,4.9904,9.5302,5.204,1.571,1,10.4036,1.1282,963.222,214.178
17,6.4638,7.0278,3.895,4.8936,1,468.945,44,615.098,22.977
10,6.6818,4.201,5.185,3.7926,0,7.2451,1.922,1.0687,7.765
27,6.3253,9.0687,3.246,2.885,1,445.388,2.5772,275.214,147.997
17,7.3237,4.8447,6.227,2.5444,0,6.2179,1.4757,999.354,230.024
24,3.1369,4.6033,93,2.8131,0,325.349,1.6102,975.027,11.9875
20,5.6113,5.6647,6.211,3.4765,1,159.943,2.3983,54.917,11.2479
26,1.938,1.4938,2.753,2.489,1,158.001,2.4347,568.476,12.6647
23,4.4606,4.6917,176,2.4172,1,499.136,1.4323,902.573,7.961
26,5.389,8.3113,5.527,1.8397,1,11.3021,2.5742,71.148,7.2029
15,6.87,1.548,5.784,1.3573,0,10.128,1.4053,932.894,167.758
15,9.5548,2.7292,4.266,4.731,1,294.667,2.0251,484.342,232.015
14,6.4059,245,723,1.588,1,370.376,1.001,976.142,136.499
18,7.6923,4.1571,8.933,3.171,1,491.252,414,544.154,4.5714
26,5.5564,7.2832,6.114,8.364,1,350.707,2.5543,648.391,10.2435
19,6.7069,7.9877,1.157,4.2864,1,280.936,9.394,9.1741,11.7605
29,1.6384,9.4519,5.109,2.9332,1,204.566,1.1942,615.514,3.6534
27,3.2895,6.085,4.973,3.8939,1,297.556,1.989,770.098,7.9028
18,4.2567,2.5463,604,4.0439,0,300.417,1.7776,444.911,10.6815
20,5.2524,9.2415,6.069,4.1162,1,10.8856,2.466,507.414,6.2857
30,1.4108,7.7532,8.083,2.7531,1,335.604,2.2973,399.394,8.4933
28,2.2602,5.7443,749,8.856,1,10.2212,1.8517,969.351,6.6299
29,3.4913,6.9564,203,7.412,1,244.977,2.566,481.858,147.077
19,9.7438,9.2432,8.623,2.8699,1,12.9935,1.6065,134.949,138.865
25,3.9821,7.1239,3.425,1.8326,1,156.401,1.243,3.8583,132.407
20,5.3384,3.6837,9.465,2.7902,1,306.939,1.114,774.745,2.3216
21,2.7649,7.1303,717,2.4924,1,3.2243,133,552.196,4.4054
11,6.497,4.028,4.862,3.011,1,6.017,1.194,1.2743,2.6599
18,3.5261,3.8642,5.971,1.606,0,6.531,3.936,388.697,1.5187
28,2.8629,4.0632,2.477,1.642,1,8.4353,2.7886,914.909,5.9239
17,5.6492,1.6684,7.714,3.608,0,9.8936,2.642,948.277,4.6685
24,1.0496,2.309,6.269,9.656,0,386.966,1.4916,6.3024,173.999
20,1.069,1.3338,181,3.261,1,223.429,5.406,132.188,167.013
23,2.9716,6.5462,6.084,2.7329,1,234.968,4.383,1.4822,4.8321
27,1.3305,8.0229,4.915,4.909,1,322.167,7.684,869.987,3.9735
30,1.9722,9.882,196,4.177,0,364.554,2.7262,8.0177,3.4775
21,4.0497,3.4636,9.957,2.0657,1,1.754,1.5644,11.6821,7.6812
20,8.2233,5.9938,8.972,3.0821,1,428.363,2.4121,235.346,7.0605
22,6.1484,9.3714,2.925,5.864,1,494.217,1.5203,918.077,6.849
19,5.614,1.6704,5.411,1.9319,1,6.0904,1.8283,691.352,136.289
26,3.6414,7.1765,3.165,3.6694,1,32.554,1.8303,620.713,215.528
12,9.3858,7.5498,7.755,3.1134,0,1.207,94,78.681,12.9326
19,4.5731,8.898,9.303,2.4224,1,2.4515,1.3358,696.352,1.5314
33,1.7838,8.6125,3.588,8.826,1,142.501,2.5921,748.468,143.892
21,6.5536,8.1311,8.056,4.0157,1,423.202,1.4673,8.292,11.6389
23,2.0245,334,4.984,1.3658,1,32.625,1.306,593.868,217.663
17,4.107,9.108,3.966,4.1024,1,22.291,1.5796,755.675,8.7173
17,5.5667,4.913,9.384,3.058,1,219.299,1.1423,570.002,180.476
14,8.868,3.3474,5.104,1.8637,1,233.027,1.5462,2.1677,9.226
17,5.4419,5.0929,4.674,203,0,155.517,406,219.009,173.158
21,7.3203,5.3235,6.724,1.1621,0,438.857,2.9038,963.271,9.966
9,9.9354,2.6767,2.612,4.4454,1,283.935,1.024,707.648,8.2732
26,2.1834,9.116,3.248,4.0899,0,241.975,1.4496,69.162,227.541
21,3.4726,3.6826,932,2.8743,0,232.538,0.63,66.365,168.769
17,4.5512,4.555,6.785,2.3316,1,467.913,1.751,13.653,222.006
17,4.7965,3.2023,8.266,3.2357,0,361.831,1.9551,1.4042,11.9005
23,4.6992,5.3111,2.711,2.3312,1,7.2407,2.9555,446.246,145.492
15,9.1685,4.0822,5.438,3.2215,1,218.485,2.2488,449.881,12.426
17,7.4263,2.7384,9.714,1.537,1,144.186,7.621,813.687,11.4928
17,6.4711,1.3132,3.187,4.1925,1,493.434,1.4802,189.752,138.775
19,3.7844,8.1916,1.605,3.5096,1,207.698,1.493,28.236,9.336
20,8.4141,9.9615,5.109,1.6499,1,3.3935,1.595,8.746,4.4564
9,9.5955,3.2954,3.878,4.1533,1,205.606,2.984,405.876,5.1509
16,8.3908,3.8162,1.596,2.4367,1,160.675,2.3838,26.343,9.1884
28,1.0141,6.1804,8.886,8.732,1,299.791,1.701,270.267,10.4293
19,6.7276,7.1844,9.907,3.886,1,11.3039,281,261.513,177.532
23,1.4602,3.9203,5.686,3.498,1,1.7987,2.5847,239.203,3.973
28,3.3185,9.0493,7.747,4.3256,1,4.794,2.8276,326.595,136.774
22,1.5357,5.6,859,4.0372,1,141.574,2.597,541.323,6.5349
17,6.4342,4.5039,701,3.2783,1,174.161,8.367,443.333,12.3757
23,7.1793,6.4667,442,7.069,1,417.225,2.2251,7.2812,150.388
27,2.0304,9.528,1.576,4.702,0,135.035,1.619,431.601,139.788
26,4.4545,7.9455,71,1.7251,1,1.5747,2.8477,847.815,5.1691
15,5.1061,4.001,99,4.2746,0,390.367,1.1675,10.9697,170.269
16,4.3215,3.3231,306,4.8087,1,434.459,0.01,944.918,156.909
25,2.0892,4.7054,3.924,1.2068,1,246.153,592,315.504,223.681
19,4.7705,3.1452,241,3.8105,0,142.464,1.6946,2.439,152.196
20,7.7606,7.2019,646,2.8693,1,38.607,2.2563,260.624,172.878
31,1.6391,8.2627,5.299,159,0,4.449,2.3719,7.8963,194.647
30,1.7216,7.3135,2.733,2.7146,1,462.014,2.7346,570.718,2.5441
27,4.1929,9.8933,796,4.0297,1,432.766,6.872,323.162,16.712
13,9.4755,2.7255,81,1.3806,0,272.417,2.2152,808.808,7.6459
24,7.0172,8.7499,8.425,4.4868,1,138.791,2.4813,735.299,197.556
23,7.108,7.6662,9.548,1.1813,1,1.6422,2.5088,47.391,11.5243
25,4.2573,3.6218,7.161,3.824,1,499.912,1.2346,564.996,139.348
24,6.3429,7.3412,7.336,7.997,1,381.037,1.8779,612.682,6.2481
23,1.0912,1.0408,9.336,4.185,1,169.355,1.6547,277.998,156.136
17,6.7249,7.8933,2.091,2.0865,0,9.636,1.7925,147.983,8.556
15,9.2196,5.3233,9.946,3.9847,1,319.646,8.461,382.754,179.658
17,6.5132,2.9229,7.735,2.6562,0,493.452,2.0497,10.3909,3.9191
19,8.8633,6.5578,7.266,2.4028,1,353.536,2.1301,321.715,5.4618
12,7.5158,6.4162,3.611,4.0346,0,4.1857,5.878,557.076,218
23,2.085,2.0949,5.458,2.1174,1,201.139,1.3309,544.711,7.5162
8,9.1221,304,6.539,4.0102,0,5.4592,1.2663,12.9407,9.318
30,1.598,4.3362,6.203,5.033,1,45.608,2.2469,1.8256,5.616
20,5.8057,5.6951,705,3.1816,1,165.207,1.9995,9.8054,5.525
28,2.2792,8.7661,824,3.5129,1,366.688,1.4286,4.5789,214.315
30,1.1054,9.2822,3.556,4.4955,1,4.2345,1.9576,406.464,7.8349
20,4.7983,5.2881,434,1.1216,1,6.4207,7.886,395.853,173.348
20,3.6554,7.538,2.606,3.0211,0,339.744,697,249.199,5.6972
19,5.374,4.393,1.726,2.1663,1,42.174,7.198,22.329,19.417
19,6.1948,7.4608,1.389,1.9139,1,10.0725,885,402.456,162.658
25,1.3937,2.048,3.664,5.336,0,209.169,2.0732,9.5708,181.489
28,2.107,3.7106,4.934,6.712,1,309.709,2.9575,222.166,10.5489
21,6.0278,6.3423,63,4.1849,1,398.138,9.271,411.635,211.095
19,4.0885,1.816,9.465,3.7488,0,314.098,2.7895,10.3882,8.9763
19,7.5626,7.2246,7.652,1.9117,0,4.7713,1.8196,842.406,144.215
21,6.8706,8.3554,7.309,4.1424,1,27.141,6.748,679.258,153.617
16,8.6104,3.9914,1.729,4.038,1,442.303,356,389.288,22.854
19,7.2324,4.4794,6.038,3.1239,1,434.012,2.1712,158.894,3.2285
23,4.8694,8.5128,5.297,4.3409,1,292.508,2.0897,202.245,3.2545
19,7.0567,7.7565,9.825,4.1943,0,497.848,6.878,12.8889,11.0892
22,3.4784,2.8815,7.477,1.8639,1,5.2562,9.981,168.483,22.029
23,3.7568,3.2398,5.758,3.7262,1,239.298,2.6941,428.289,5.204
17,8.1009,6.7888,8.508,2.1373,0,387.562,4.717,253.208,6.6306
19,5.0178,5.632,1.551,4.2007,0,7.0519,2.5063,885.733,6.8061
13,8.1854,1.6223,152,2.6538,1,486.375,5.077,961.319,7.3189
12,8.4018,3.0993,6.902,3.8243,0,177.023,1.4452,694.451,5.929
22,8.7181,8.9998,983,3.929,1,17.507,1.4969,810.673,198.146
15,9.2497,6.8817,1.154,2.9501,1,10.6597,1.4163,262.568,2.138
26,4.8789,9.8597,7.447,2.7514,1,144.009,8.638,668.374,11.4649
23,3.8698,7.6701,2.705,3.0499,1,288.794,7.601,6.7419,1.3526
23,6.2398,9.4197,6.286,3.4782,0,214.677,2.1995,960.614,191.675
18,4.3406,2.1619,9.174,4.5905,1,9.6689,827,673.505,179.181
23,6.4097,7.7148,3.165,3.9284,1,40.457,1.8297,323.683,173.167
15,7.3503,2.022,2.171,1.0982,1,3.112,2.5399,775.311,176.704
21,7.1956,6.7076,1.066,4.1295,1,417.326,2.5111,2.5641,225.657
19,4.371,4.6928,1.305,6.104,1,137.469,5.015,382.474,10.1935
22,2.5017,3.4676,622,3.111,0,247.952,1.9642,896.701,206.778
22,4.8748,8.624,876,4.4138,1,190.532,1.8068,270.568,4.4216
30,2.2833,8.5427,432,5.056,1,285.301,846,671.235,10.8303
10,9.0109,223,3.209,4.2485,1,397.995,1.1744,366.503,2.138
23,4.1129,6.0951,7.066,3.9931,1,49.466,8.553,398.441,6.8194
25,2.3901,3.6783,8.702,2.5189,1,15.303,1.6112,748.478,10.9958
31,1.229,4.1566,7.848,1.5445,1,276.902,2.4109,911.104,21.823
23,6.8124,8.3204,5.306,2.0272,0,233.004,2.6325,175.051,7.6068
17,6.7321,3.0984,1.024,4.8433,1,499.464,2.1685,284.123,161.378
28,4.0654,9.4305,7.098,1.1985,0,404.457,1.4504,492.907,200.152
26,1.6454,1.7963,3.628,2.898,1,198.542,2.8743,617.678,7.8367
23,4.6867,6.6272,857,4.162,1,23.844,1.6916,473.109,4.0615
25,3.801,6.7211,8.425,1.0895,0,12.2978,1.4356,807.473,141.887
16,7.0941,2.522,3.382,3.8166,0,377.624,2.5703,770.414,6.8252
17,6.452,3.2475,2.182,1.513,1,422.606,5.539,41.119,156.589
21,4.2813,8.348,8.715,4.9288,0,482.493,4.736,5.0206,3.2328
29,2.961,7.6181,9.021,2.5041,1,282.914,2.3476,202.551,3.6383
14,9.8923,3.291,339,2.5827,0,335.342,2.6117,492.083,162.222
21,5.086,5.3396,3.548,1.816,0,223.029,2.183,928.239,233.654
16,7.1945,6.168,5.796,4.7826,1,304.564,2.2923,571.894,5.9255
25,2.265,2.0875,7.334,8.712,1,174.375,1.2734,535.091,171.339
22,5.3703,4.8582,631,2.6917,1,368.845,2.1112,72.673,12.769
22,1.2478,8.597,5.933,1.9784,1,1.135,4.049,160.772,202.522
26,5.5491,8.4333,9.528,2.0779,1,1.4228,2.919,155.449,9.3333
20,9.6762,7.1801,2.621,3.2165,1,35.806,2.6438,351.941,233.211
26,4.4579,9.4363,9.088,3.3104,0,465.341,1.2179,994.904,1.9775
34,1.351,6.9347,9.502,7.714,0,316.124,2.6801,877.182,236.315
32,1.2786,9.404,2.692,2.4979,0,363.264,2.6848,683.313,203.097
23,4.4919,5.5451,7.542,3.9524,1,411.967,1.3838,397.243,20.795
30,2.4402,6.2022,2.388,2.2164,1,180.837,2.8407,559.127,202.177
33,1.2102,9.7697,7.376,829,1,5.4057,2.9306,310.519,206.847
21,7.8059,6.4213,7.974,1.5661,1,466.546,6.516,677.564,195.637
18,5.1267,3.079,2.472,1.0619,1,469.285,0.2,424.657,215.884
28,3.6032,7.238,7.159,6.291,1,22.092,9.934,12.9014,11.0592
19,9.1007,9.0547,8.121,1.8879,0,10.8585,1.4665,222.937,22.543
26,2.0453,7.9558,3.586,2.7047,1,446.177,278,612.606,9.2391
17,9.6033,5.8383,1.677,3.638,1,354.213,422,697.619,174.844
25,3.8257,6.713,92,3.0191,1,4.114,2.9151,10.5061,170.485
20,8.9956,9.9019,5.754,4.9651,1,5.386,2.2119,810.258,197.015
20,6.4265,9.066,9.781,4.8206,1,49.16,2.6248,826.104,177.212
19,8.4404,6.6724,823,4.1459,1,1.9064,2.9135,725.851,8.491
12,9.8561,2.834,4.358,1.3317,1,141.278,1.1344,686.753,177.397
