,annotator_labels,captionID,gold_label,pairID,sentence1,sentence1_binary_parse,sentence1_parse,sentence2,sentence2_binary_parse,sentence2_parse
255,['neutral'],3691765410.jpg#0,neutral,3691765410.jpg#0r5n,"A man with a beard, wearing a red shirt with gray sleeves and work gloves, pulling on a rope.","( ( ( A man ) ( with ( a beard ) ) ) ( , ( ( ( ( ( wearing ( a ( red shirt ) ) ) ( with ( gray ( sleeves ( and ( work gloves ) ) ) ) ) ) , ) ( pulling ( on ( a rope ) ) ) ) . ) ) )","(ROOT (S (NP (NP (DT A) (NN man)) (PP (IN with) (NP (DT a) (NN beard)))) (, ,) (VP (VP (VBG wearing) (NP (DT a) (JJ red) (NN shirt)) (PP (IN with) (NP (JJ gray) (NNS sleeves) (CC and) (NN work) (NNS gloves)))) (, ,) (VP (VBG pulling) (PP (IN on) (NP (DT a) (NN rope))))) (. .)))",a man competes in a rope pulling contest,( ( a man ) ( competes ( in ( a ( rope ( pulling contest ) ) ) ) ) ),(ROOT (S (NP (DT a) (NN man)) (VP (VBZ competes) (PP (IN in) (NP (DT a) (NN rope) (VBG pulling) (NN contest))))))
256,['neutral'],3691765410.jpg#0,neutral,3691765410.jpg#0r4n,"A man with a beard, wearing a red shirt with gray sleeves and work gloves, pulling on a rope.","( ( ( A man ) ( with ( a beard ) ) ) ( , ( ( ( ( ( wearing ( a ( red shirt ) ) ) ( with ( gray ( sleeves ( and ( work gloves ) ) ) ) ) ) , ) ( pulling ( on ( a rope ) ) ) ) . ) ) )","(ROOT (S (NP (NP (DT A) (NN man)) (PP (IN with) (NP (DT a) (NN beard)))) (, ,) (VP (VP (VBG wearing) (NP (DT a) (JJ red) (NN shirt)) (PP (IN with) (NP (JJ gray) (NNS sleeves) (CC and) (NN work) (NNS gloves)))) (, ,) (VP (VBG pulling) (PP (IN on) (NP (DT a) (NN rope))))) (. .)))",A man is trying to pull his car out of a lake,( ( A man ) ( is ( trying ( to ( ( ( pull ( his car ) ) out ) ( of ( a lake ) ) ) ) ) ) ),(ROOT (S (NP (DT A) (NN man)) (VP (VBZ is) (VP (VBG trying) (S (VP (TO to) (VP (VB pull) (NP (PRP$ his) (NN car)) (PRT (RP out)) (PP (IN of) (NP (DT a) (NN lake))))))))))
257,['contradiction'],3691765410.jpg#0,contradiction,3691765410.jpg#0r1c,"A man with a beard, wearing a red shirt with gray sleeves and work gloves, pulling on a rope.","( ( ( A man ) ( with ( a beard ) ) ) ( , ( ( ( ( ( wearing ( a ( red shirt ) ) ) ( with ( gray ( sleeves ( and ( work gloves ) ) ) ) ) ) , ) ( pulling ( on ( a rope ) ) ) ) . ) ) )","(ROOT (S (NP (NP (DT A) (NN man)) (PP (IN with) (NP (DT a) (NN beard)))) (, ,) (VP (VP (VBG wearing) (NP (DT a) (JJ red) (NN shirt)) (PP (IN with) (NP (JJ gray) (NNS sleeves) (CC and) (NN work) (NNS gloves)))) (, ,) (VP (VBG pulling) (PP (IN on) (NP (DT a) (NN rope))))) (. .)))",The man was clean shaven.,( ( The man ) ( ( was ( clean shaven ) ) . ) ),(ROOT (S (NP (DT The) (NN man)) (VP (VBD was) (ADJP (JJ clean) (JJ shaven))) (. .)))
258,['entailment'],3691765410.jpg#0,entailment,3691765410.jpg#0r3e,"A man with a beard, wearing a red shirt with gray sleeves and work gloves, pulling on a rope.","( ( ( A man ) ( with ( a beard ) ) ) ( , ( ( ( ( ( wearing ( a ( red shirt ) ) ) ( with ( gray ( sleeves ( and ( work gloves ) ) ) ) ) ) , ) ( pulling ( on ( a rope ) ) ) ) . ) ) )","(ROOT (S (NP (NP (DT A) (NN man)) (PP (IN with) (NP (DT a) (NN beard)))) (, ,) (VP (VP (VBG wearing) (NP (DT a) (JJ red) (NN shirt)) (PP (IN with) (NP (JJ gray) (NNS sleeves) (CC and) (NN work) (NNS gloves)))) (, ,) (VP (VBG pulling) (PP (IN on) (NP (DT a) (NN rope))))) (. .)))",A bearded man is pulling on a rope.,( ( A ( bearded man ) ) ( ( is ( pulling ( on ( a rope ) ) ) ) . ) ),(ROOT (S (NP (DT A) (JJ bearded) (NN man)) (VP (VBZ is) (VP (VBG pulling) (PP (IN on) (NP (DT a) (NN rope))))) (. .)))
259,['neutral'],3691765410.jpg#0,neutral,3691765410.jpg#0r2n,"A man with a beard, wearing a red shirt with gray sleeves and work gloves, pulling on a rope.","( ( ( A man ) ( with ( a beard ) ) ) ( , ( ( ( ( ( wearing ( a ( red shirt ) ) ) ( with ( gray ( sleeves ( and ( work gloves ) ) ) ) ) ) , ) ( pulling ( on ( a rope ) ) ) ) . ) ) )","(ROOT (S (NP (NP (DT A) (NN man)) (PP (IN with) (NP (DT a) (NN beard)))) (, ,) (VP (VP (VBG wearing) (NP (DT a) (JJ red) (NN shirt)) (PP (IN with) (NP (JJ gray) (NNS sleeves) (CC and) (NN work) (NNS gloves)))) (, ,) (VP (VBG pulling) (PP (IN on) (NP (DT a) (NN rope))))) (. .)))",A man is dragging a sled behind him.,( ( A man ) ( ( is ( ( dragging ( a sled ) ) ( behind him ) ) ) . ) ),(ROOT (S (NP (DT A) (NN man)) (VP (VBZ is) (VP (VBG dragging) (NP (DT a) (NN sled)) (PP (IN behind) (NP (PRP him))))) (. .)))
260,['contradiction'],3691765410.jpg#0,contradiction,3691765410.jpg#0r2c,"A man with a beard, wearing a red shirt with gray sleeves and work gloves, pulling on a rope.","( ( ( A man ) ( with ( a beard ) ) ) ( , ( ( ( ( ( wearing ( a ( red shirt ) ) ) ( with ( gray ( sleeves ( and ( work gloves ) ) ) ) ) ) , ) ( pulling ( on ( a rope ) ) ) ) . ) ) )","(ROOT (S (NP (NP (DT A) (NN man)) (PP (IN with) (NP (DT a) (NN beard)))) (, ,) (VP (VP (VBG wearing) (NP (DT a) (JJ red) (NN shirt)) (PP (IN with) (NP (JJ gray) (NNS sleeves) (CC and) (NN work) (NNS gloves)))) (, ,) (VP (VBG pulling) (PP (IN on) (NP (DT a) (NN rope))))) (. .)))","A man in a swimsuit, swings on a rope.","( ( ( A man ) ( in ( a swimsuit ) ) ) ( , ( ( swings ( on ( a rope ) ) ) . ) ) )","(ROOT (S (NP (NP (DT A) (NN man)) (PP (IN in) (NP (DT a) (NN swimsuit)))) (, ,) (VP (VBZ swings) (PP (IN on) (NP (DT a) (NN rope)))) (. .)))"
261,['contradiction'],3691765410.jpg#0,contradiction,3691765410.jpg#0r4c,"A man with a beard, wearing a red shirt with gray sleeves and work gloves, pulling on a rope.","( ( ( A man ) ( with ( a beard ) ) ) ( , ( ( ( ( ( wearing ( a ( red shirt ) ) ) ( with ( gray ( sleeves ( and ( work gloves ) ) ) ) ) ) , ) ( pulling ( on ( a rope ) ) ) ) . ) ) )","(ROOT (S (NP (NP (DT A) (NN man)) (PP (IN with) (NP (DT a) (NN beard)))) (, ,) (VP (VP (VBG wearing) (NP (DT a) (JJ red) (NN shirt)) (PP (IN with) (NP (JJ gray) (NNS sleeves) (CC and) (NN work) (NNS gloves)))) (, ,) (VP (VBG pulling) (PP (IN on) (NP (DT a) (NN rope))))) (. .)))",A man is wearing a black shirt,( ( A man ) ( is ( wearing ( a ( black shirt ) ) ) ) ),(ROOT (S (NP (DT A) (NN man)) (VP (VBZ is) (VP (VBG wearing) (NP (DT a) (JJ black) (NN shirt))))))
262,['entailment'],3691765410.jpg#0,entailment,3691765410.jpg#0r4e,"A man with a beard, wearing a red shirt with gray sleeves and work gloves, pulling on a rope.","( ( ( A man ) ( with ( a beard ) ) ) ( , ( ( ( ( ( wearing ( a ( red shirt ) ) ) ( with ( gray ( sleeves ( and ( work gloves ) ) ) ) ) ) , ) ( pulling ( on ( a rope ) ) ) ) . ) ) )","(ROOT (S (NP (NP (DT A) (NN man)) (PP (IN with) (NP (DT a) (NN beard)))) (, ,) (VP (VP (VBG wearing) (NP (DT a) (JJ red) (NN shirt)) (PP (IN with) (NP (JJ gray) (NNS sleeves) (CC and) (NN work) (NNS gloves)))) (, ,) (VP (VBG pulling) (PP (IN on) (NP (DT a) (NN rope))))) (. .)))",A man is pulling on a rope.,( ( A man ) ( ( is ( pulling ( on ( a rope ) ) ) ) . ) ),(ROOT (S (NP (DT A) (NN man)) (VP (VBZ is) (VP (VBG pulling) (PP (IN on) (NP (DT a) (NN rope))))) (. .)))
263,['entailment'],3691765410.jpg#0,entailment,3691765410.jpg#0r1e,"A man with a beard, wearing a red shirt with gray sleeves and work gloves, pulling on a rope.","( ( ( A man ) ( with ( a beard ) ) ) ( , ( ( ( ( ( wearing ( a ( red shirt ) ) ) ( with ( gray ( sleeves ( and ( work gloves ) ) ) ) ) ) , ) ( pulling ( on ( a rope ) ) ) ) . ) ) )","(ROOT (S (NP (NP (DT A) (NN man)) (PP (IN with) (NP (DT a) (NN beard)))) (, ,) (VP (VP (VBG wearing) (NP (DT a) (JJ red) (NN shirt)) (PP (IN with) (NP (JJ gray) (NNS sleeves) (CC and) (NN work) (NNS gloves)))) (, ,) (VP (VBG pulling) (PP (IN on) (NP (DT a) (NN rope))))) (. .)))",The man is able to grow a beard.,( ( The man ) ( ( is ( able ( to ( grow ( a beard ) ) ) ) ) . ) ),(ROOT (S (NP (DT The) (NN man)) (VP (VBZ is) (ADJP (JJ able) (S (VP (TO to) (VP (VB grow) (NP (DT a) (NN beard))))))) (. .)))
264,['contradiction'],3691765410.jpg#1,contradiction,3691765410.jpg#1r1c,A man with facial hair and a red and gray shirt tugging on a piece of rope.,( ( ( ( A man ) ( with ( ( ( facial hair ) and ) ( a ( ( ( red and ) gray ) shirt ) ) ) ) ) ( tugging ( on ( ( a piece ) ( of rope ) ) ) ) ) . ),(ROOT (NP (NP (NP (DT A) (NN man)) (PP (IN with) (NP (NP (JJ facial) (NN hair)) (CC and) (NP (DT a) (ADJP (JJ red) (CC and) (JJ gray)) (NN shirt))))) (VP (VBG tugging) (PP (IN on) (NP (NP (DT a) (NN piece)) (PP (IN of) (NP (NN rope)))))) (. .))),A man is naked on the bed.,( ( A man ) ( ( is ( naked ( on ( the bed ) ) ) ) . ) ),(ROOT (S (NP (DT A) (NN man)) (VP (VBZ is) (ADJP (JJ naked) (PP (IN on) (NP (DT the) (NN bed))))) (. .)))
265,['neutral'],3691765410.jpg#1,neutral,3691765410.jpg#1r1n,A man with facial hair and a red and gray shirt tugging on a piece of rope.,( ( ( ( A man ) ( with ( ( ( facial hair ) and ) ( a ( ( ( red and ) gray ) shirt ) ) ) ) ) ( tugging ( on ( ( a piece ) ( of rope ) ) ) ) ) . ),(ROOT (NP (NP (NP (DT A) (NN man)) (PP (IN with) (NP (NP (JJ facial) (NN hair)) (CC and) (NP (DT a) (ADJP (JJ red) (CC and) (JJ gray)) (NN shirt))))) (VP (VBG tugging) (PP (IN on) (NP (NP (DT a) (NN piece)) (PP (IN of) (NP (NN rope)))))) (. .))),A man is wearing a red and gray shirt.,( ( A man ) ( ( is ( wearing ( a ( ( ( red and ) gray ) shirt ) ) ) ) . ) ),(ROOT (S (NP (DT A) (NN man)) (VP (VBZ is) (VP (VBG wearing) (NP (DT a) (ADJP (JJ red) (CC and) (JJ gray)) (NN shirt)))) (. .)))
266,['entailment'],3691765410.jpg#1,entailment,3691765410.jpg#1r1e,A man with facial hair and a red and gray shirt tugging on a piece of rope.,( ( ( ( A man ) ( with ( ( ( facial hair ) and ) ( a ( ( ( red and ) gray ) shirt ) ) ) ) ) ( tugging ( on ( ( a piece ) ( of rope ) ) ) ) ) . ),(ROOT (NP (NP (NP (DT A) (NN man)) (PP (IN with) (NP (NP (JJ facial) (NN hair)) (CC and) (NP (DT a) (ADJP (JJ red) (CC and) (JJ gray)) (NN shirt))))) (VP (VBG tugging) (PP (IN on) (NP (NP (DT a) (NN piece)) (PP (IN of) (NP (NN rope)))))) (. .))),A man has facial hair.,( ( A man ) ( ( has ( facial hair ) ) . ) ),(ROOT (S (NP (DT A) (NN man)) (VP (VBZ has) (NP (JJ facial) (NN hair))) (. .)))
267,['contradiction'],6160193920.jpg#1,contradiction,6160193920.jpg#1r1c,A middle-aged oriental woman in a green headscarf and blue shirt is flashing a giant smile.,( ( ( A ( middle-aged ( oriental woman ) ) ) ( in ( ( ( a ( green headscarf ) ) and ) ( blue shirt ) ) ) ) ( ( is ( flashing ( a ( giant smile ) ) ) ) . ) ),(ROOT (S (NP (NP (DT A) (JJ middle-aged) (JJ oriental) (NN woman)) (PP (IN in) (NP (NP (DT a) (JJ green) (NN headscarf)) (CC and) (NP (JJ blue) (NN shirt))))) (VP (VBZ is) (VP (VBG flashing) (NP (DT a) (JJ giant) (NN smile)))) (. .))),The middle aged oriental woman is watchingt v,( ( The ( middle ( aged ( oriental woman ) ) ) ) ( is ( watchingt v ) ) ),(ROOT (S (NP (DT The) (JJ middle) (VBN aged) (JJ oriental) (NN woman)) (VP (VBZ is) (NP (FW watchingt) (FW v)))))
268,['entailment'],6160193920.jpg#1,entailment,6160193920.jpg#1r1e,A middle-aged oriental woman in a green headscarf and blue shirt is flashing a giant smile.,( ( ( A ( middle-aged ( oriental woman ) ) ) ( in ( ( ( a ( green headscarf ) ) and ) ( blue shirt ) ) ) ) ( ( is ( flashing ( a ( giant smile ) ) ) ) . ) ),(ROOT (S (NP (NP (DT A) (JJ middle-aged) (JJ oriental) (NN woman)) (PP (IN in) (NP (NP (DT a) (JJ green) (NN headscarf)) (CC and) (NP (JJ blue) (NN shirt))))) (VP (VBZ is) (VP (VBG flashing) (NP (DT a) (JJ giant) (NN smile)))) (. .))),A middle aged oriental woman in a green headscarf and blue shirt is flashing a giant smile,( ( ( A ( middle ( aged ( oriental woman ) ) ) ) ( in ( ( ( a ( green headscarf ) ) and ) ( blue shirt ) ) ) ) ( is ( flashing ( a ( giant smile ) ) ) ) ),(ROOT (S (NP (NP (DT A) (JJ middle) (JJ aged) (JJ oriental) (NN woman)) (PP (IN in) (NP (NP (DT a) (JJ green) (NN headscarf)) (CC and) (NP (JJ blue) (NN shirt))))) (VP (VBZ is) (VP (VBG flashing) (NP (DT a) (JJ giant) (NN smile))))))
269,['neutral'],6160193920.jpg#1,neutral,6160193920.jpg#1r1n,A middle-aged oriental woman in a green headscarf and blue shirt is flashing a giant smile.,( ( ( A ( middle-aged ( oriental woman ) ) ) ( in ( ( ( a ( green headscarf ) ) and ) ( blue shirt ) ) ) ) ( ( is ( flashing ( a ( giant smile ) ) ) ) . ) ),(ROOT (S (NP (NP (DT A) (JJ middle-aged) (JJ oriental) (NN woman)) (PP (IN in) (NP (NP (DT a) (JJ green) (NN headscarf)) (CC and) (NP (JJ blue) (NN shirt))))) (VP (VBZ is) (VP (VBG flashing) (NP (DT a) (JJ giant) (NN smile)))) (. .))),The middle aged oriental woman is very happy,( ( The ( middle ( aged ( oriental woman ) ) ) ) ( is ( very happy ) ) ),(ROOT (S (NP (DT The) (JJ middle) (VBN aged) (JJ oriental) (NN woman)) (VP (VBZ is) (ADJP (RB very) (JJ happy)))))
270,['neutral'],6160193920.jpg#0,neutral,6160193920.jpg#0r1n,An Asian woman in a blue top and green headscarf smiling widely as another woman rows a boat in the background.,( ( ( An ( Asian woman ) ) ( in ( ( ( a ( blue top ) ) and ) ( ( green headscarf ) ( ( smiling widely ) ( as ( another woman ) ) ) ) ) ) ) ( ( ( rows ( a boat ) ) ( in ( the background ) ) ) . ) ),(ROOT (S (NP (NP (DT An) (JJ Asian) (NN woman)) (PP (IN in) (NP (NP (DT a) (JJ blue) (NN top)) (CC and) (NP (NP (JJ green) (NN headscarf)) (VP (VBG smiling) (ADVP (RB widely)) (PP (IN as) (NP (DT another) (NN woman)))))))) (VP (VBD rows) (NP (DT a) (NN boat)) (PP (IN in) (NP (DT the) (NN background)))) (. .))),An Asian woman is happy because she found money on the ground.,( ( An ( Asian woman ) ) ( ( ( is happy ) ( because ( she ( ( found money ) ( on ( the ground ) ) ) ) ) ) . ) ),(ROOT (S (NP (DT An) (JJ Asian) (NN woman)) (VP (VBZ is) (ADJP (JJ happy)) (SBAR (IN because) (S (NP (PRP she)) (VP (VBD found) (NP (NN money)) (PP (IN on) (NP (DT the) (NN ground))))))) (. .)))
271,['entailment'],6160193920.jpg#0,entailment,6160193920.jpg#0r1e,An Asian woman in a blue top and green headscarf smiling widely as another woman rows a boat in the background.,( ( ( An ( Asian woman ) ) ( in ( ( ( a ( blue top ) ) and ) ( ( green headscarf ) ( ( smiling widely ) ( as ( another woman ) ) ) ) ) ) ) ( ( ( rows ( a boat ) ) ( in ( the background ) ) ) . ) ),(ROOT (S (NP (NP (DT An) (JJ Asian) (NN woman)) (PP (IN in) (NP (NP (DT a) (JJ blue) (NN top)) (CC and) (NP (NP (JJ green) (NN headscarf)) (VP (VBG smiling) (ADVP (RB widely)) (PP (IN as) (NP (DT another) (NN woman)))))))) (VP (VBD rows) (NP (DT a) (NN boat)) (PP (IN in) (NP (DT the) (NN background)))) (. .))),An Asian woman is smiling at while another lady is rowing.,( ( An ( Asian woman ) ) ( ( is ( smiling ( at ( while ( ( another lady ) ( is rowing ) ) ) ) ) ) . ) ),(ROOT (S (NP (DT An) (JJ Asian) (NN woman)) (VP (VBZ is) (VP (VBG smiling) (PP (IN at) (SBAR (IN while) (S (NP (DT another) (NN lady)) (VP (VBZ is) (NP (NN rowing)))))))) (. .)))
272,['contradiction'],6160193920.jpg#0,contradiction,6160193920.jpg#0r1c,An Asian woman in a blue top and green headscarf smiling widely as another woman rows a boat in the background.,( ( ( An ( Asian woman ) ) ( in ( ( ( a ( blue top ) ) and ) ( ( green headscarf ) ( ( smiling widely ) ( as ( another woman ) ) ) ) ) ) ) ( ( ( rows ( a boat ) ) ( in ( the background ) ) ) . ) ),(ROOT (S (NP (NP (DT An) (JJ Asian) (NN woman)) (PP (IN in) (NP (NP (DT a) (JJ blue) (NN top)) (CC and) (NP (NP (JJ green) (NN headscarf)) (VP (VBG smiling) (ADVP (RB widely)) (PP (IN as) (NP (DT another) (NN woman)))))))) (VP (VBD rows) (NP (DT a) (NN boat)) (PP (IN in) (NP (DT the) (NN background)))) (. .))),An Asian woman is running from a dog.,( ( An ( Asian woman ) ) ( ( is ( running ( from ( a dog ) ) ) ) . ) ),(ROOT (S (NP (DT An) (JJ Asian) (NN woman)) (VP (VBZ is) (VP (VBG running) (PP (IN from) (NP (DT a) (NN dog))))) (. .)))
273,['entailment'],3691765410.jpg#4,entailment,3691765410.jpg#4r1e,A boat worker securing line.,( ( ( A ( boat worker ) ) ( securing line ) ) . ),(ROOT (NP (NP (DT A) (NN boat) (NN worker)) (VP (VBG securing) (NP (NN line))) (. .))),A worker is doing something to a boat.,( ( A worker ) ( ( is ( ( doing something ) ( to ( a boat ) ) ) ) . ) ),(ROOT (S (NP (DT A) (NN worker)) (VP (VBZ is) (VP (VBG doing) (NP (NN something)) (PP (TO to) (NP (DT a) (NN boat))))) (. .)))
274,['contradiction'],3691765410.jpg#4,contradiction,3691765410.jpg#4r1c,A boat worker securing line.,( ( ( A ( boat worker ) ) ( securing line ) ) . ),(ROOT (NP (NP (DT A) (NN boat) (NN worker)) (VP (VBG securing) (NP (NN line))) (. .))),The boat worker is swimming in the ocean.,( ( The ( boat worker ) ) ( ( is ( swimming ( in ( the ocean ) ) ) ) . ) ),(ROOT (S (NP (DT The) (NN boat) (NN worker)) (VP (VBZ is) (VP (VBG swimming) (PP (IN in) (NP (DT the) (NN ocean))))) (. .)))
275,['neutral'],3691765410.jpg#4,neutral,3691765410.jpg#4r1n,A boat worker securing line.,( ( ( A ( boat worker ) ) ( securing line ) ) . ),(ROOT (NP (NP (DT A) (NN boat) (NN worker)) (VP (VBG securing) (NP (NN line))) (. .))),The boat worker works hard to establish the line.,( ( The ( boat worker ) ) ( ( works ( hard ( to ( establish ( the line ) ) ) ) ) . ) ),(ROOT (S (NP (DT The) (NN boat) (NN worker)) (VP (VBZ works) (ADJP (JJ hard) (S (VP (TO to) (VP (VB establish) (NP (DT the) (NN line))))))) (. .)))
276,['neutral'],2178064851.jpg#3,neutral,2178064851.jpg#3r1n,A small girl with a necklace is swimming.,( ( ( A ( small girl ) ) ( with ( a necklace ) ) ) ( ( is swimming ) . ) ),(ROOT (S (NP (NP (DT A) (JJ small) (NN girl)) (PP (IN with) (NP (DT a) (NN necklace)))) (VP (VBZ is) (VP (VBG swimming))) (. .))),A small girl with a necklace is swimming in a pool,( ( ( A ( small girl ) ) ( with ( a necklace ) ) ) ( is ( swimming ( in ( a pool ) ) ) ) ),(ROOT (S (NP (NP (DT A) (JJ small) (NN girl)) (PP (IN with) (NP (DT a) (NN necklace)))) (VP (VBZ is) (VP (VBG swimming) (PP (IN in) (NP (DT a) (NN pool)))))))
277,['contradiction'],2178064851.jpg#3,contradiction,2178064851.jpg#3r1c,A small girl with a necklace is swimming.,( ( ( A ( small girl ) ) ( with ( a necklace ) ) ) ( ( is swimming ) . ) ),(ROOT (S (NP (NP (DT A) (JJ small) (NN girl)) (PP (IN with) (NP (DT a) (NN necklace)))) (VP (VBZ is) (VP (VBG swimming))) (. .))),A fat girl is diving off the edge,( ( A ( fat girl ) ) ( is ( ( diving off ) ( the edge ) ) ) ),(ROOT (S (NP (DT A) (JJ fat) (NN girl)) (VP (VBZ is) (VP (VBG diving) (PRT (RP off)) (NP (DT the) (NN edge))))))
278,['entailment'],2178064851.jpg#3,entailment,2178064851.jpg#3r1e,A small girl with a necklace is swimming.,( ( ( A ( small girl ) ) ( with ( a necklace ) ) ) ( ( is swimming ) . ) ),(ROOT (S (NP (NP (DT A) (JJ small) (NN girl)) (PP (IN with) (NP (DT a) (NN necklace)))) (VP (VBZ is) (VP (VBG swimming))) (. .))),A small girl with a necklace is in the water,( ( ( A ( small girl ) ) ( with ( a necklace ) ) ) ( is ( in ( the water ) ) ) ),(ROOT (S (NP (NP (DT A) (JJ small) (NN girl)) (PP (IN with) (NP (DT a) (NN necklace)))) (VP (VBZ is) (PP (IN in) (NP (DT the) (NN water))))))
279,['contradiction'],3557316485.jpg#2,contradiction,3557316485.jpg#2r1c,a skateboarder skates in the pool.,( ( a skateboarder ) ( ( skates ( in ( the pool ) ) ) . ) ),(ROOT (S (NP (DT a) (NN skateboarder)) (VP (VBZ skates) (PP (IN in) (NP (DT the) (NN pool)))) (. .))),A skate swims in the pool.,( ( A skate ) ( ( swims ( in ( the pool ) ) ) . ) ),(ROOT (S (NP (DT A) (NN skate)) (VP (VBZ swims) (PP (IN in) (NP (DT the) (NN pool)))) (. .)))
280,['entailment'],3557316485.jpg#2,entailment,3557316485.jpg#2r1e,a skateboarder skates in the pool.,( ( a skateboarder ) ( ( skates ( in ( the pool ) ) ) . ) ),(ROOT (S (NP (DT a) (NN skateboarder)) (VP (VBZ skates) (PP (IN in) (NP (DT the) (NN pool)))) (. .))),A skater is in the pool.,( ( A skater ) ( ( is ( in ( the pool ) ) ) . ) ),(ROOT (S (NP (DT A) (NN skater)) (VP (VBZ is) (PP (IN in) (NP (DT the) (NN pool)))) (. .)))
281,['neutral'],3557316485.jpg#2,neutral,3557316485.jpg#2r1n,a skateboarder skates in the pool.,( ( a skateboarder ) ( ( skates ( in ( the pool ) ) ) . ) ),(ROOT (S (NP (DT a) (NN skateboarder)) (VP (VBZ skates) (PP (IN in) (NP (DT the) (NN pool)))) (. .))),A skater grinds on the lip of the pool.,( ( A skater ) ( ( grinds ( on ( ( the lip ) ( of ( the pool ) ) ) ) ) . ) ),(ROOT (S (NP (DT A) (NN skater)) (VP (VBZ grinds) (PP (IN on) (NP (NP (DT the) (NN lip)) (PP (IN of) (NP (DT the) (NN pool)))))) (. .)))
282,['contradiction'],3706019259.jpg#0,contradiction,3706019259.jpg#0r1c,"A couple, who appear to be Indian or Pakistani, walk on a path beside a body of water, the mother carrying a child in a diaper, the father wrapped in a blanket with the logo of the humanitarian organization ""Save the Children.""","( ( ( ( ( A couple ) , ) ( who ( appear ( to ( be ( ( Indian or ) Pakistani ) ) ) ) ) ) , ) ( ( ( ( ( ( walk ( on ( a path ) ) ) ( beside ( ( a body ) ( of water ) ) ) ) , ) ( ( the mother ) ( ( carrying ( a child ) ) ( in ( ( ( a diaper ) , ) ( ( the father ) ( ( wrapped ( in ( a blanket ) ) ) ( with ( ( the logo ) ( of ( the ( humanitarian ( organization ( `` ( Save ( the Children ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) . ) '' ) )","(ROOT (S (NP (NP (DT A) (NN couple)) (, ,) (SBAR (WHNP (WP who)) (S (VP (VBP appear) (S (VP (TO to) (VP (VB be) (NP (NNP Indian) (CC or) (NNP Pakistani)))))))) (, ,)) (VP (VBP walk) (PP (IN on) (NP (DT a) (NN path))) (PP (IN beside) (NP (NP (DT a) (NN body)) (PP (IN of) (NP (NN water))))) (, ,) (NP (NP (DT the) (NN mother)) (VP (VBG carrying) (NP (DT a) (NN child)) (PP (IN in) (NP (NP (DT a) (NN diaper)) (, ,) (NP (NP (DT the) (NN father)) (VP (VBN wrapped) (PP (IN in) (NP (DT a) (NN blanket))) (PP (IN with) (NP (NP (DT the) (NN logo)) (PP (IN of) (NP (DT the) (JJ humanitarian) (NN organization) (`` ``) (NNP Save) (DT the) (NNP Children)))))))))))) (. .) ('' '')))",A man is wrapped in a UNICEF blanket.,( ( A man ) ( ( is ( wrapped ( in ( a ( UNICEF blanket ) ) ) ) ) . ) ),(ROOT (S (NP (DT A) (NN man)) (VP (VBZ is) (VP (VBN wrapped) (PP (IN in) (NP (DT a) (NNP UNICEF) (NN blanket))))) (. .)))
283,['entailment'],3706019259.jpg#0,entailment,3706019259.jpg#0r1e,"A couple, who appear to be Indian or Pakistani, walk on a path beside a body of water, the mother carrying a child in a diaper, the father wrapped in a blanket with the logo of the humanitarian organization ""Save the Children.""","( ( ( ( ( A couple ) , ) ( who ( appear ( to ( be ( ( Indian or ) Pakistani ) ) ) ) ) ) , ) ( ( ( ( ( ( walk ( on ( a path ) ) ) ( beside ( ( a body ) ( of water ) ) ) ) , ) ( ( the mother ) ( ( carrying ( a child ) ) ( in ( ( ( a diaper ) , ) ( ( the father ) ( ( wrapped ( in ( a blanket ) ) ) ( with ( ( the logo ) ( of ( the ( humanitarian ( organization ( `` ( Save ( the Children ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) . ) '' ) )","(ROOT (S (NP (NP (DT A) (NN couple)) (, ,) (SBAR (WHNP (WP who)) (S (VP (VBP appear) (S (VP (TO to) (VP (VB be) (NP (NNP Indian) (CC or) (NNP Pakistani)))))))) (, ,)) (VP (VBP walk) (PP (IN on) (NP (DT a) (NN path))) (PP (IN beside) (NP (NP (DT a) (NN body)) (PP (IN of) (NP (NN water))))) (, ,) (NP (NP (DT the) (NN mother)) (VP (VBG carrying) (NP (DT a) (NN child)) (PP (IN in) (NP (NP (DT a) (NN diaper)) (, ,) (NP (NP (DT the) (NN father)) (VP (VBN wrapped) (PP (IN in) (NP (DT a) (NN blanket))) (PP (IN with) (NP (NP (DT the) (NN logo)) (PP (IN of) (NP (DT the) (JJ humanitarian) (NN organization) (`` ``) (NNP Save) (DT the) (NNP Children)))))))))))) (. .) ('' '')))",A couple carrying a child are walking along water.,( ( ( A couple ) ( carrying ( a child ) ) ) ( ( are ( walking ( along water ) ) ) . ) ),(ROOT (S (NP (NP (DT A) (NN couple)) (VP (VBG carrying) (NP (DT a) (NN child)))) (VP (VBP are) (VP (VBG walking) (PP (IN along) (NP (NN water))))) (. .)))
